Project ID,Title,Sector,Subsector,State,Start Date,Completion Date,Total Project Cost (USD mn),Project Status,Source URL
706358,Construction Of Southern Bank Approach From Km. 0.00 To 8.00 To Bagibeel Rail Cum Road Bridge On NH-52B Near Dibrugarh In The State Of Assam. [Job No. 52B-AS-2009-10-085],roads-and-highways,106,Assam,08-Mar-2011,23-Sep-2019,17.94,Completion Certificate Issued,https://indiainvestmentgrid.gov.in/opportunities/project/706358
706681,Pimpalgaon - Nashik - Gonde Section Of NH-3 From Km.380.00 To Km.440.00. Balance / Additional Works.,roads-and-highways,106,Maharashtra,23-Apr-2018,17-May-2021,67.71,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/706681
616737,Construction Of RE Wall In The Approaches Of LUVPs From Km 171 706 To Km 172 097 Of NH-62 On EPC Mode Under Annual Plan 2023-24 In Suratgarh Town In The State Of Rajasthan,roads-and-highways,106,Rajasthan,19-Sep-2024,18-Jun-2025,1.14,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/616737
613557,Development To Four-Lanes With Paved Side Shoulder Of Jalandhar-Hoshiarpur Section Of NH-70 [New NH No. 3] From Existing Km 11.400 To Km 49.200 Including Construction Of Hoshiarpur Bypass In The State Of Punjab On EPC Mode Under NHDP-IV. [Job No. NH-03-PB-NHDPIV-2015-16-29],roads-and-highways,106,Punjab,23-Oct-2017,22-Oct-2019,134.49,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/613557
707466,Strengthening To NH-61 Kalyan- Nirmal - Jagtial Road From Km 707/055 To 719/055 And 734/550 To 745/550 Under NH[O] For The Year 2019-20 In The State Of Telangana. [EPC Mode] [61-TS-2019-20-53],roads-and-highways,106,Telangana,08-May-2020,31-Mar-2021,2.36,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/707466
709579,Northern Patiala Bypass,roads-and-highways,106,Punjab,-,-,160.32,Not Applicable,https://indiainvestmentgrid.gov.in/opportunities/project/709579
613772,Construction Of Moreh-Bypass,roads-and-highways,106,Manipur,01-Jul-2020,31-Dec-2021,8.57,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/613772
707465,Strengthening To NH-63 Nizamabad -Jagadalpur Road Section From Km 98/0 To 108/0 Under NH[O] In The State Of Telangana Under EPC Mode [63-TS-2019-20-52],roads-and-highways,106,Telangana,28-Jul-2020,23-Apr-2021,1.33,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/707465
709067,Widening Strengthening To 2-Lane With Paved Shoulder From Km 109.7 To 158.5 Of NH-343,roads-and-highways,106,Jharkhand,-,-,56.58,Not Applicable,https://indiainvestmentgrid.gov.in/opportunities/project/709067
706335,Widening To Two/Four Lane With Paved Shoulders From Km. 79.650 [Existing Km.85.880] To 118.470 [Existing Km.125.300]End Of Yadgir Bypass To Andhra Border Section Of NH 150 In The State Of Karnataka On EPC Mode [Package -II].,roads-and-highways,106,Karnataka,06-Feb-2017,05-Feb-2021,41.37,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/706335
613468,"Rehabilitation And Up-Gradation To 2L PS Of Rajewadiphata To Warandh Village Section [Km. 75.100 To 88.100 L 13 Km ] Part Of Lonand- Bhor- Mahad - Mhapral - Mandangad - Pachral - Ambadave, NH-965 DD In The State Of Maharashtra On EPC Mode.",roads-and-highways,106,Maharashtra,02-Mar-2023,31-Aug-2024,15.94,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/613468
705977,Widening To 2 Lane And Improvement Vijaywada Ranci Route From Km 377/700 To 471/900 [Berhmapur-Taptapani-Rayagada Road SH-17 From Km 67/000 To 150/100 And Koraput-Laxmipur-Rayagada Road SH-4 From Km 149/000 To 160/100 In Gajapati And Rayagada District.,roads-and-highways,106,Odisha,24-Aug-2012,31-Mar-2021,24.03,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/705977
615170,Upgradation To 2L PS Standards Of Section From Kasabkeda-Devgaon Rangari Section From Km 72 00 To 82 00 Km [Design Ch .13/650 To Ch. 23/650] [For 10.00 Km Length] Of NH-752H In The State Of Maharashtra On EPC Mode.,roads-and-highways,106,Maharashtra,05-Apr-2022,05-Apr-2023,5.67,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/615170
613281,Sinnar-Shirdi [Including Sinnar Bypass],roads-and-highways,106,Maharashtra,18-Aug-2020,17-Aug-2022,167.32,COD,https://indiainvestmentgrid.gov.in/opportunities/project/613281
614033,Strengthening Between Km 119.00 To Km 147.00 [Length27.98km] On NH-154 Including Construction Of Retaining Walls At Essential Places In The State Of Mizoram.[Job No. 154/MZ/2020-21/120],roads-and-highways,106,Mizoram,23-Dec-2020,17-Aug-2021,3.03,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/614033
616086,Conversion Of Partially Excavated Escape Tunnel To Uni-Directional 2L Tunnel[Including Construction Of Cross Passages And Approach Roads On Either Side Of The Tunnel] From Km 12.732 To Km 14.568 Of Kiratpur To Nerchowk Section Of NH-21,roads-and-highways,106,Chhattisgarh,15-Sep-2022,15-Mar-2024,55.85,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/616086
615656,Start Of Kollam Bypass - Kadambattukonam,roads-and-highways,106,Kerala,01-Oct-2022,29-Mar-2025,332.13,Concessionaire Appointment,https://indiainvestmentgrid.gov.in/opportunities/project/615656
615840,"Construction Of Major Bridge Across Manjra River Near Yesgi Village Km, 166/500 On NH 63 Tq Biloli Dist Nanded In State Of Maharashtra. On EPC Mode",roads-and-highways,106,Maharashtra,08-Feb-2022,26-Mar-2024,23.73,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/615840
613632,End Of Yadgir Bypass-AP Border,roads-and-highways,106,Karnataka,06-Feb-2017,25-Aug-2021,41.37,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/613632
706521,Piska More [Km. 2.90] To Palma [Km. 26.00] Of NH- 233,roads-and-highways,106,Jharkhand,27-Dec-2017,06-Apr-2020,20.14,Completion Certificate Issued,https://indiainvestmentgrid.gov.in/opportunities/project/706521
702089,Development Of Ring Road And Its Approach Roads,roads-and-highways,106,Karnataka,20-Feb-2020,30-Jun-2023,7.13,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/702089
708339,Development Of Multi Lane Carriageway Of Jalna Road In Aurangabad City From Nagarnaka Junction To Cambridge School Road Section From Km. 0.00 To Km. 14.293,roads-and-highways,106,Maharashtra,19-Mar-2020,18-Sep-2021,10.19,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/708339
614612,"STRENGTHENING OF EXISTING CARRIAGEWAY IN AADAMPUR PHATA TO KARLA PHATA SECTION OF NH-63 FROM KM253/700 TO 256/700, KM 263/700 TO KM 275/700 [SH 168 CH. KM 139/500 TO KM 142/500, KM 149/500 TO KM 161/500] IN THE STATE OF MAHARASHTRA On Engineering, Procurement & Construction [EPC] Mode",roads-and-highways,106,Maharashtra,18-Apr-2020,09-Feb-2021,0.98,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/614612
614573,"Valley Side Slope Stabilization Treatment Including Drainage,Cross Drainage Work And Pavement In Dharasu-Gangotri Road From Km. 123.080 To Km.123.970 Of NH-34 And Stabilization Of Dumping Zone",roads-and-highways,106,Uttarakhand,08-Jan-2020,09-Aug-2020,2.96,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/614573
613064,Guhagar - Rampur - 2L-PS - Km 0/00 [Guhagar] To 26/230 [Rampur] And 40/00 [Mirjoli] To 53/600 [Sati] On NH-166E,roads-and-highways,106,Maharashtra,13-Jun-2017,13-Jun-2019,51.2,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/613064
613592,Canacona Bypass [Construction Of Canacona Bypass From Km 68/00 To Km 85/740 Of NH-17 [New NH-66],roads-and-highways,106,Goa,04-Dec-2015,01-May-2020,36.46,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/613592
706181,Construction Of Pranhita Bridge,roads-and-highways,106,Maharashtra,23-Nov-2015,30-Jun-2019,21.16,Project Completed,https://indiainvestmentgrid.gov.in/opportunities/project/706181
706575,Mahagaon To Yavatmal Of NH-361,roads-and-highways,106,Maharashtra,28-Feb-2018,12-Jun-2020,182.1,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/706575
615360,Four Laning Of Rohtak Jind Section From Km 307.000 To Km 347.800 Of NH71 And Connecting Link From Km 347.800 Of NH71 To Km 9.400 Of NH71A [Balance Work] [Left Out In NHDP],roads-and-highways,106,Haryana,17-Aug-2020,17-Feb-2022,110.68,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/615360
706605,Tonk [Km 1.300] To Sawaimadhopur [Km 69.750] Of NH-116 In Rajasthan,roads-and-highways,106,Rajasthan,18-Jan-2017,15-Oct-2019,95.53,Completion Certificate Issued,https://indiainvestmentgrid.gov.in/opportunities/project/706605
709576,Construction Of 6 Lane Bridge At Ib River In Kanaktora - Jharsuguda Section Of NH-49 Amounting To,roads-and-highways,106,Odisha,-,-,12.44,Not Applicable,https://indiainvestmentgrid.gov.in/opportunities/project/709576
612847,Widening & Strengthing Of Jaisalmer Sam Dhanana Road Km 0/0 To 45/0,roads-and-highways,106,Rajasthan,22-Aug-2023,21-Nov-2024,13.83,Not Applicable,https://indiainvestmentgrid.gov.in/opportunities/project/612847
701048,Impvt. Of Road On NH-02[NH-150 Old] From Km 465.200 To Km 488.00,roads-and-highways,106,Manipur,06-Sep-2017,24-Oct-2019,25.15,Project Completed,https://indiainvestmentgrid.gov.in/opportunities/project/701048
703405,Junction 54 To Maloya Village Road Construction Project,roads-and-highways,106,Chandigarh,-,-,2.01,DPR/Feasibility Study,https://indiainvestmentgrid.gov.in/opportunities/project/703405
706317,"Up-Gradation To Two Lane With Paved Shoulder For Section From Km 58.000 To Km 91.600 [ Excluding Ch [59.460 To 62.900], [73.120 To 75.920], [82.650 To 85.300]] Balotra To Sanderao Via Jalore [Excluding Ingoing BOT Projects] Section Of NH 325 [Pkg-II]",roads-and-highways,106,Rajasthan,20-Jul-2017,19-Jul-2019,22.55,Project Completed,https://indiainvestmentgrid.gov.in/opportunities/project/706317
400300,Mumbai Coastal Roads Project,roads-and-highways,106,Maharashtra,-,26-Nov-2023,,-,https://indiainvestmentgrid.gov.in/opportunities/project/400300
613666,Strengthening To Wardha-Pulgaon-Arvi- Talegaon-Ashti-Warud-Multai Road NH 347A Km.18 000 To 40 000 [Kaotha Pulgaon Rohana] Excluding Length Of ROB-0.30 In The State Of Maharashtra,roads-and-highways,106,Maharashtra,06-May-2020,15-May-2021,3.48,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/613666
613999,Road Safety Works From Km 47.00 To Km 77.00 On NH309B In The State Of Uttarakhand.,roads-and-highways,106,Uttarakhand,30-Sep-2020,28-Mar-2021,0.55,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/613999
709601,Belagavi Bypass - Package 1C,roads-and-highways,106,Karnataka,-,-,75.44,Not Applicable,https://indiainvestmentgrid.gov.in/opportunities/project/709601
706334,Widening To Two Lane With Paved Shoulders From Km. 125.626 To 155.800 Of NH-167 Hagari To Jadacherla Section In The State Of Karnataka On EPC Mode [Package-1],roads-and-highways,106,Karnataka,23-Jan-2017,22-Jun-2019,23.09,Project Completed,https://indiainvestmentgrid.gov.in/opportunities/project/706334
615589,Aurangabad - Karodi Km 290.00 - Km 320.104 Of NH 211 [New NH 52],roads-and-highways,106,Bihar,12-Feb-2019,10-Aug-2021,258.74,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/615589
705962,Reconstruction With Geometric Improvement Of Existing 2 Lane To 2lane With Paved Shoulder Configuration From Existing Km. 126.730 To Km 135.075 & Existing Km 143.750 To Km 163.000 [Tanakpur-Pithoragarh Project Road] On NH-125 In The State Of Uttarakhand Under EPC Mode Under Improvement Of NH Connectivity To Chardham [Job No. NH-125-UR-2016-17-485 ],roads-and-highways,106,Uttarakhand,21-Nov-2017,31-May-2021,29.27,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/705962
614879,Maram -Peren [Package-2B],roads-and-highways,106,Manipur,21-Jun-2021,12-Jan-2024,29.25,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/614879
616211,6L Full Access Control Provisions In Stretches From Saharanpur Bypass To Ganeshpur Section Of NH-344 [Package-1],roads-and-highways,106,Uttarakhand,03-Jul-2023,02-Jul-2024,14.13,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/616211
615606,Delhi-Vadodara Greenfield Alignment [NH-148N] [Pkg-17] [Ch. 452 420 To Ch. 484 420] [Rajasthan/MP Border To Jodmi Village Of Mandsaur District],roads-and-highways,106,Rajasthan,08-Oct-2020,07-Oct-2022,165.99,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/615606
613514,Up-Gradation To Four Lane/ Two Lane With Paved Shoulders Configuration Of Kalyan - Murbad - Malshej Ghat - Nirmal Road NH- 61 Km 15/200 To Km 38/00 And From Km. 58/00 To Km 84/00 [Design Length 48.58 Km] Of NH-61 On EPC Mode In Thane District In The State Of Maharashtra,roads-and-highways,106,Maharashtra,15-Mar-2024,31-Aug-2026,123.74,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/613514
616051,6L Bridge And Its Approaches Across River Ganga As Part Of Patna Ring Road [NH-131G] Starting From Km 8.480 Near Sherpur To Km 23.000 Near Dighwara,roads-and-highways,106,Bihar,05-Sep-2023,05-Sep-2027,791.12,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/616051
700111,Solapur-Vijayapur,roads-and-highways,106,Maharashtra,26-Oct-2018,23-Dec-2021,237.51,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/700111
615225,INFRASTRUCTURE WORK MMLP [Pkg.-III External Rail Connectivity],roads-and-highways,106,Assam,01-Dec-2020,01-Jun-2022,87.26,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/615225
614020,Repair And Rehabilitation Of Existing Pavement From Km 110.00 To Km 150.00 On NH-6 [Kawlkulh To Champai] In The State Of Mizoram During 2018-19 On EPC Mode. [Job No. 006/MZ/2018-19/117],roads-and-highways,106,Mizoram,29-Nov-2019,23-Mar-2021,3.34,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/614020
613496,Upgradation & Rehabilitation To Two Lane With Paved Shoulder Of Ghagariya- Munabao Section From Km 69.910 To Km 126.355 Of NH-25 Ext [Design Length 56.445 Km] In The State Of Rajasthan On EPC Mode.,roads-and-highways,106,Rajasthan,02-Aug-2023,01-Aug-2025,29.57,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/613496
706164,Mangrulpir - Mahan,roads-and-highways,106,Maharashtra,30-Jun-2018,29-Jun-2020,27.93,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/706164
615460,4L Of Mehgama - Hansdiha From Km. 41.900 To Km. 93.000 Of NH -133A [Pkg-II],roads-and-highways,106,Jharkhand,09-May-2023,07-May-2025,186.06,Concessionaire Appointment,https://indiainvestmentgrid.gov.in/opportunities/project/615460
706223,Kothari - Dhanora,roads-and-highways,106,Maharashtra,15-Feb-2019,30-Aug-2020,47.43,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/706223
607539,Paloda-Garhi-Anandpuri Section Of SH-10A,roads-and-highways,106,Rajasthan,02-Mar-2023,15-May-2025,31.86,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/607539
613257,Raipur [Km 10.200] To Kodebod [Km 43.400] Of NH - 30 In Chhattisgarh,roads-and-highways,106,Chhattisgarh,11-Mar-2017,10-Mar-2019,113.92,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/613257
614283,Strengthening To Jarud Phata To Wadwani Road NH 361 F Km. 59/500 To 79/00,roads-and-highways,106,Maharashtra,10-Jul-2020,25-Mar-2021,1.58,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/614283
613067,Aurangabad - Phulambari - Sillod NH-753F - Km 0 000- Km 21 000 & 26 300 To 47 500 4L PS &54 470 To 60 400[Overlay],roads-and-highways,106,Maharashtra,15-Jun-2017,14-Mar-2020,75.28,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/613067
706075,Rehabilitation And Up-Gradation Of NH-111 [New NH-130] From Km 163.400 To 215.800 [Shivnagar To Ambikapur ] To 2-Lane With Paved Shoulder In The State Of Chhattisgarh Under NHDP- IV On EPC Basis.,roads-and-highways,106,Chhattisgarh,12-Jun-2017,11-Apr-2019,49.96,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/706075
613897,"Providing Service Road On Panvel Mahad Panji Road NH 66 Km. 406/030 To 450/170, Road Safety Panvel Mahad Panji Road NH 66 Km. 406/030 To 450/170 To Four Lane With Paved Shoulder & Construction Of Foot Bridge Near New English High School And Jr. Collage, Kasal Tal. Kankavli, Dist. Sindhudurg, At Ch.422/600 [Design Ch 254.140] [Kalmath - Zarap Section] In The State Of Maharashtra",roads-and-highways,106,Maharashtra,11-Oct-2024,11-Oct-2025,0.55,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/613897
708966,Mushrigharari-Samastipur,roads-and-highways,106,Bihar,-,-,7.54,Not Applicable,https://indiainvestmentgrid.gov.in/opportunities/project/708966
614355,Kohmara - Gondia Section Of NH-753 From Km 28/00 To KM 42.40 - 2L PS,roads-and-highways,106,Maharashtra,12-Apr-2018,31-Oct-2022,14.92,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/614355
616056,6 Lane Greenfield Varanasi- Ranchi- Kolkata Highway From Deoria Village To Donoreshan Village From Km 253.000 To Km 288.600 [Pkg -10],roads-and-highways,106,Jharkhand,01-Jan-1901,01-Jan-1901,194.43,Financial Closure,https://indiainvestmentgrid.gov.in/opportunities/project/616056
613097,Male Village To Pune Raigarh District Border NH-753F,roads-and-highways,106,Maharashtra,30-Jun-2018,30-Dec-2019,32.21,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/613097
709480,Badrama-Wildlife Sanctuary,roads-and-highways,106,Odisha,-,-,157.18,Not Applicable,https://indiainvestmentgrid.gov.in/opportunities/project/709480
613092,Pangaon To Dharmapuri & Parali To Injegaon 2L PS,roads-and-highways,106,Maharashtra,03-Jun-2019,12-Feb-2020,19.12,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/613092
607574,Neemkathana-Khetri-Singhana-Section Of SH-13,roads-and-highways,106,Rajasthan,01-Oct-2022,05-Nov-2024,26.09,Concessionaire Appointment,https://indiainvestmentgrid.gov.in/opportunities/project/607574
703386,Ana Chowk To Govindpur Road Construction Project,roads-and-highways,106,Jharkhand,-,-,20.18,DPR/Feasibility Study,https://indiainvestmentgrid.gov.in/opportunities/project/703386
708055,Construction Of Two Lane Road With Paved Shoulders For Chinyalisour Bypass From Existing Chainage Km 133.020 To Km 137.330 [Design Chainage Km 0.000 To Km 4.316] Of NH-94 [Old] Under Chardham Parijojna In The State Of Uttarakhand On EPC Mode Under Improvement To NH Connectivity To Chardham In The State Of Uttarakhand.,roads-and-highways,106,Uttarakhand,06-Aug-2019,10-Nov-2020,8.18,Project Completed,https://indiainvestmentgrid.gov.in/opportunities/project/708055
607544,Bikaner-Napasar-Jasrasar Section Of SH-20B,roads-and-highways,106,Rajasthan,03-Mar-2023,31-Dec-2024,22.87,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/607544
613098,Pune Raigarh District Border To Mangaon [ Ch 69 000 To 103 775] NH-753F,roads-and-highways,106,Maharashtra,30-Jun-2018,30-Dec-2019,28.1,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/613098
709721,Marikal-Deosugur,roads-and-highways,106,Telangana,-,-,153.78,Not Applicable,https://indiainvestmentgrid.gov.in/opportunities/project/709721
614909,Widening To Two Lane With Paved Shoulders From Km. 646.324[ Old Ch. Km 603.600 ] To Km 658.824 [ Old Ch. Km616.100 ]And From Km 666.124 To Km 669.124 Jewargi - Chamrajnagara Section On NH 150A In The State Of Karnataka [Job No NH-150A-KNT-2017-18-859],roads-and-highways,106,Karnataka,26-Mar-2018,25-Mar-2019,8.91,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/614909
613297,Cuttack-Angul Section Of NH-42 [New NH-55] From Km.60.200 To Km. 112.000 [Pkg-II] In The State Of Odisha,roads-and-highways,106,Odisha,12-Mar-2018,06-Sep-2020,124.66,Notice to Proceed,https://indiainvestmentgrid.gov.in/opportunities/project/613297
613135,Strengthening And Road Safety Work From Km. 0.00 To 10.00 Km. & Km. 26 To 48.00 Km. And Road Safety Work From Km. 22.00 To 26.00km On NH 309B [Almora-Panar-Ghat Motor Road] In The State Of Uttarakhand,roads-and-highways,106,Uttarakhand,29-Sep-2020,31-Mar-2023,3.35,Completion Certificate/COD,https://indiainvestmentgrid.gov.in/opportunities/project/613135
706240,Tembhurni-Pandharpur [Km 0/00 To Km 36/190],roads-and-highways,106,Maharashtra,11-Jul-2017,10-Jul-2019,14.14,Work in Progress,https://indiainvestmentgrid.gov.in/opportunities/project/706240
